@relation notas_estudiantes

@attribute asistencia numeric
@attribute parcial numeric
@attribute tarea numeric
@attribute nota_final numeric

@data
84.72,84.96,88.4,85.94
79.0,1.35,79.34,40.28
56.3,82.88,39.5,64.55
82.95,30.41,23.23,38.76
79.81,54.03,75.28,65.56
95.06,72.99,52.17,71.16
86.03,33.84,35.37,44.74
80.4,39.79,3.28,36.96
86.07,78.12,71.29,77.66
54.12,0.31,48.69,25.59
62.19,74.92,31.76,59.43
90.23,20.25,55.02,44.68
59.49,13.04,19.49,24.27
58.86,86.81,26.5,63.13
78.37,28.81,5.83,31.83
69.14,37.83,35.03,43.25
90.01,52.23,5.98,45.91
61.14,30.22,69.05,48.05
93.75,76.54,43.73,70.14
59.26,8.53,15.01,20.62
65.47,41.9,6.28,35.93
74.74,36.34,21.18,39.47
91.09,92.11,76.12,87.11
70.14,0.19,48.93,28.8
86.03,97.06,20.1,71.77
68.06,6.42,95.33,45.42
70.39,28.62,57.34,45.59
83.2,58.64,20.61,52.14
92.6,45.21,68.66,61.72
96.52,20.88,90.29,56.83
74.85,88.47,24.3,66.5
86.1,17.77,59.21,43.87
93.55,72.97,80.96,79.48
64.44,50.69,6.51,40.19
61.0,8.2,17.33,21.5
64.95,87.35,95.71,85.38
89.3,84.83,33.26,70.25
88.56,73.72,29.58,63.45
82.79,24.92,65.79,48.76
70.85,23.96,34.07,36.37
67.23,64.85,38.88,57.53
76.95,13.54,23.7,29.27
82.58,24.13,33.78,38.72
56.23,15.56,61.26,37.4
76.75,60.22,7.78,47.79
71.3,80.09,52.28,69.99
68.32,43.18,43.96,48.44
99.75,60.72,69.37,71.12
80.12,15.25,40.51,35.8
60.46,88.04,24.47,63.45
74.45,16.94,59.18,41.11
60.49,83.08,50.34,68.74
56.34,79.78,33.65,61.25
53.02,92.04,84.88,82.09
53.32,75.55,97.42,77.66
88.31,66.18,6.63,52.74
65.41,82.93,70.91,75.82
88.15,41.28,5.29,39.86
75.24,63.73,93.0,74.81
75.65,63.92,78.52,70.65
88.05,7.76,44.94,34.97
72.1,96.87,69.76,83.78
95.18,30.58,70.94,55.61
83.42,46.13,94.45,68.08
66.36,14.58,47.29,34.75
67.84,75.98,7.65,53.85
82.56,68.79,32.86,60.77
95.79,71.56,86.71,80.95
92.2,2.95,69.03,40.62
94.82,87.63,52.61,78.56
93.4,57.77,36.66,58.56
82.08,43.93,61.14,56.72
77.64,70.68,9.8,53.81
58.0,24.94,18.57,29.64
77.36,64.26,96.33,76.5
73.34,92.0,7.42,62.89
75.01,95.78,91.04,90.2
57.97,49.91,31.58,46.02
88.95,59.23,14.81,51.85
86.86,96.61,78.89,89.34
65.15,9.12,89.49,44.44
70.3,54.35,63.56,60.3
67.92,87.93,52.13,73.19
97.61,15.83,94.97,55.93
57.63,73.72,50.64,63.58
50.21,71.3,96.13,74.53
78.5,26.22,32.07,38.43
88.61,48.22,32.5,51.58
65.0,98.37,66.07,82.01
57.59,77.28,28.18,58.61
52.74,68.33,46.82,58.76
60.96,53.82,95.17,67.65
71.71,12.4,15.04,25.05
61.65,77.59,29.4,59.95
81.05,58.85,57.6,62.92
99.8,6.51,1.93,23.79
81.4,67.03,48.6,64.38
53.42,81.07,77.97,74.61
68.01,40.39,60.04,51.81
74.17,9.22,45.73,33.16
66.34,38.32,98.99,62.12
55.96,93.65,9.76,60.95
54.56,95.7,53.73,74.88
86.9,76.95,92.51,83.61
73.25,81.37,37.53,66.59
50.95,21.7,31.79,30.58
74.68,81.11,80.3,79.58
56.95,58.92,72.23,62.52
72.5,83.31,50.04,71.17
71.14,95.8,34.39,72.44
61.19,2.83,81.66,38.15
62.37,60.54,36.49,53.69
52.43,63.98,33.59,52.55
86.82,11.61,24.58,30.54
91.1,84.34,39.54,72.25
70.44,75.6,65.01,71.39
56.76,49.63,15.38,40.78
94.28,76.75,79.14,80.97
58.93,82.9,94.36,81.54
57.76,74.05,81.52,73.03
50.55,30.28,44.52,38.61
95.31,55.22,93.94,74.85
84.16,64.22,86.86,75.0
65.87,63.48,1.94,45.5
85.88,55.86,81.27,69.49
90.32,15.82,56.97,43.06
89.78,32.19,49.27,48.83
58.35,21.17,81.33,46.65
80.39,90.98,86.37,87.48
70.94,35.4,84.7,57.3
74.47,19.25,87.73,50.84
61.75,37.7,68.93,51.88
73.38,75.13,3.63,53.33
52.55,96.78,72.89,80.77
69.32,72.16,93.2,77.9
91.32,4.07,39.06,32.02
61.37,62.0,10.25,46.35
87.07,82.04,9.93,61.41
87.78,35.52,43.15,48.26
60.33,27.84,9.28,28.77
56.41,31.92,40.87,39.5
97.2,23.04,4.76,32.39
69.97,95.57,94.38,90.09
88.53,63.72,18.4,55.09
99.04,63.74,43.38,64.69
94.93,48.24,93.95,71.29
61.95,20.89,41.13,35.17
99.47,4.0,13.65,25.99
94.72,72.16,14.46,59.36
55.34,87.31,56.46,71.66
60.37,80.65,6.18,54.25
73.08,4.04,29.87,25.6
60.31,47.12,80.84,59.87
51.0,47.75,69.35,54.88
92.78,94.36,73.27,87.72
54.61,64.64,34.56,53.61
86.27,68.78,26.49,59.59
81.36,94.63,29.37,72.4
80.59,15.55,57.12,41.03
51.02,21.05,20.46,26.87
55.25,85.67,24.94,61.37
57.97,14.46,5.97,20.62
95.92,58.58,97.13,77.61
75.71,97.79,66.1,83.87
60.8,96.58,62.55,79.22
84.06,78.31,18.94,61.65
89.3,45.78,30.14,49.79
94.52,90.1,31.06,73.27
84.95,38.97,44.95,49.96
51.4,42.69,9.26,34.4
53.52,95.83,80.85,82.87
63.41,36.99,59.04,48.89
81.8,34.5,2.37,34.32
62.97,73.04,57.43,66.34
94.13,89.38,53.01,79.42
71.18,17.59,57.23,40.2
63.66,82.15,51.66,69.31
59.61,64.07,55.05,60.47
82.25,85.19,58.59,76.62
77.54,36.08,45.51,47.2
73.52,95.67,27.81,70.88
65.67,77.33,9.89,54.77
52.9,99.63,98.0,89.79
57.59,30.14,75.57,49.26
62.76,89.62,11.27,60.74
70.57,71.17,79.45,73.53
64.64,89.77,88.89,84.48
98.57,5.3,41.62,34.85
58.13,63.38,16.55,48.28
96.26,15.81,63.37,46.17
73.01,42.69,61.32,54.34
92.77,42.68,5.43,41.52
95.69,57.7,94.82,76.43
99.62,46.71,32.59,53.06
78.76,32.9,25.94,39.98
71.82,71.78,1.33,50.65
51.8,72.06,67.91,66.76
91.85,48.92,24.34,50.13
67.68,3.62,82.4,40.07
78.19,95.33,1.67,63.8
66.78,97.34,87.83,88.38
93.4,26.66,65.47,51.65
72.84,83.13,20.83,62.38
59.22,76.29,71.29,71.38
95.46,41.28,99.18,69.49
71.17,17.89,35.73,33.9
94.28,56.37,45.24,60.61
87.01,81.96,29.59,67.26
62.66,85.58,11.72,58.84
81.02,48.48,68.43,60.97
68.74,31.57,12.49,33.28
80.84,0.4,7.0,18.47
56.55,23.52,57.03,40.18
57.0,82.79,81.03,77.1
72.46,65.26,4.91,48.59
98.02,44.73,30.6,51.15
84.21,25.17,50.46,44.56
85.4,46.35,84.09,65.48
73.57,7.71,14.08,22.79
76.3,95.61,82.07,87.69
82.22,16.68,47.86,39.14
95.29,34.08,73.3,58.09
87.16,48.98,71.14,63.26
72.77,20.94,46.32,38.92
65.99,18.15,26.51,30.23
72.04,1.51,44.38,28.48
86.13,42.97,35.61,49.39
82.01,29.51,13.63,35.25
71.1,67.46,50.69,63.16
71.13,26.01,55.29,43.82
56.48,34.77,75.95,51.47
57.64,34.32,12.74,32.51
55.17,71.9,76.97,70.08
53.9,14.22,28.98,26.58
81.1,53.58,74.11,65.24
74.97,89.4,54.74,76.12
68.83,22.53,16.31,29.92
67.49,89.32,72.53,79.92
90.8,63.93,4.19,51.38
66.72,2.15,33.41,24.44
70.57,5.75,76.07,39.81
69.71,79.94,58.77,71.54
81.79,35.18,97.38,63.16
51.5,5.89,71.33,34.64
58.08,13.85,98.58,48.11
84.82,44.47,52.39,54.92
54.08,82.27,28.57,60.52
57.5,7.33,24.51,22.52
52.12,10.91,13.48,19.92
92.22,51.2,21.79,50.58
79.8,15.31,99.79,53.55
81.79,99.31,42.07,78.63
68.8,85.95,22.98,63.63
52.78,97.42,15.27,63.85
67.73,44.24,93.6,63.75
64.21,77.33,37.31,62.7
89.58,72.93,40.37,66.49
88.19,29.68,68.32,52.97
82.19,70.5,86.12,77.52
60.08,19.92,40.24,34.05
57.48,92.33,26.09,65.49
53.42,68.33,48.58,59.42
97.92,59.82,1.31,49.89
64.46,52.04,13.12,42.85
57.21,3.52,69.06,33.92
67.25,78.28,55.08,69.11
87.12,27.64,52.31,46.94
57.79,85.17,54.97,70.63
57.99,79.96,88.56,78.15
56.25,3.39,50.45,28.08
99.35,64.98,32.17,62.01
54.86,98.46,26.52,68.16
99.3,70.84,27.74,63.6
78.62,33.22,73.02,54.24
73.58,19.37,86.03,50.21
99.81,9.66,27.51,33.05
87.71,76.08,72.08,77.21
52.4,91.43,91.31,83.59
75.99,95.31,95.01,91.36
98.91,87.54,3.57,64.62
97.49,10.75,86.75,50.9
58.64,34.63,2.83,29.89
70.54,18.99,25.8,31.34
91.68,75.5,71.78,77.62
94.02,10.98,86.54,50.26
76.84,10.61,43.82,33.82
97.97,21.03,37.15,41.25
61.75,2.89,80.51,37.95
72.62,0.29,12.72,18.48
58.17,28.88,10.67,29.27
50.55,71.96,88.23,72.56
89.6,5.15,72.93,42.37
95.9,66.0,14.51,56.53
86.48,48.5,32.32,51.24
89.21,93.55,65.58,84.29
57.32,44.38,21.53,40.11
56.03,93.73,64.88,77.53
86.1,37.36,44.03,49.11
57.23,67.8,46.39,59.26
84.18,56.23,90.63,72.14
56.17,48.87,46.8,49.71
79.56,3.06,67.43,37.67
60.2,69.09,94.85,75.04
63.84,41.65,51.57,49.06
57.62,75.82,36.99,60.53
82.71,93.32,5.64,64.89
70.96,22.98,16.49,30.63
87.96,96.11,74.75,88.07
85.49,50.86,45.93,56.31
72.77,47.66,38.58,49.96
92.12,73.24,75.43,77.67
69.96,51.57,74.37,62.09
58.64,67.83,81.76,70.17
80.72,17.25,78.13,48.21
92.05,14.02,57.63,42.71
91.93,85.52,68.04,81.56
63.16,90.62,38.76,69.57
93.21,58.44,7.0,49.96
98.6,54.32,71.32,68.28
78.86,64.74,2.89,49.01
87.97,36.65,46.78,49.95
89.97,92.28,31.04,73.45
85.3,61.6,57.4,65.08
53.64,39.45,3.43,31.48
76.58,21.36,62.86,44.85
68.63,86.85,40.44,69.28
88.76,23.2,86.83,55.4
90.79,68.21,33.31,62.26
94.3,59.91,76.75,71.84
87.29,7.38,67.22,41.31
93.82,82.77,63.51,79.2
97.76,50.88,63.04,63.9
82.04,15.6,89.47,51.05
51.53,93.22,58.42,74.44
88.74,58.89,89.07,73.91
97.95,93.25,0.78,66.45
72.26,32.49,78.19,54.15
62.61,63.87,20.19,50.51
91.56,87.72,87.2,88.33
76.55,76.72,31.63,63.16
88.15,29.82,95.58,61.21
81.58,84.17,94.18,86.66
74.87,68.93,98.87,79.1
85.66,95.74,15.9,69.77
52.33,40.68,66.03,50.62
80.64,4.33,8.92,20.97
51.01,75.44,45.67,61.62
68.53,95.72,39.85,73.52
58.83,26.73,57.55,42.4
96.44,65.81,58.83,69.84
98.39,6.64,51.3,38.39
58.36,87.88,2.99,56.51
53.37,60.3,30.56,49.99
73.99,72.52,25.01,58.56
72.15,34.4,86.42,57.56
98.66,83.59,58.25,79.0
85.0,55.59,44.65,58.19
70.19,9.83,28.69,27.56
70.98,43.55,92.99,63.87
91.15,98.11,64.08,86.51
83.02,10.91,33.98,32.25
71.33,80.25,29.84,63.34
97.25,88.27,69.32,84.38
70.69,68.46,31.11,57.7
71.6,3.8,41.06,28.54
57.54,94.2,96.89,87.68
76.43,32.15,58.54,48.92
66.49,41.32,18.89,39.62
53.55,89.04,58.94,72.91
68.97,80.33,42.21,66.62
65.83,63.16,93.88,72.91
53.88,49.75,47.26,49.83
79.51,94.06,60.4,81.05
63.3,63.59,38.4,55.97
69.12,42.9,14.62,39.66
95.59,0.04,95.15,47.68
53.24,74.63,85.27,73.54
58.22,85.82,49.52,69.41
79.03,63.6,23.84,54.76
92.84,57.1,52.17,62.77
61.29,43.91,41.47,46.65
71.88,33.14,82.37,55.66
71.54,94.34,42.12,74.11
74.91,10.14,87.32,46.25
91.7,14.83,30.69,34.96
64.18,79.96,99.42,82.64
68.14,40.41,83.33,58.83
58.83,81.79,54.1,68.89
74.87,40.41,41.11,47.51
97.7,26.45,42.09,45.39
95.98,35.21,3.33,37.8
61.73,80.48,4.97,54.08
99.62,77.97,70.41,80.03
96.51,22.99,68.87,51.46
58.69,29.52,5.39,28.11
64.01,53.71,4.69,41.06
62.59,39.02,13.68,36.13
69.4,32.12,59.33,47.74
64.48,4.26,41.79,27.56
57.3,73.21,3.78,49.2
58.92,41.91,83.7,57.85
78.54,67.07,2.78,50.08
90.29,90.83,49.94,78.45
53.63,70.13,98.74,75.41
99.3,91.25,34.93,75.96
57.3,12.54,61.14,36.07
71.8,3.14,64.81,35.37
69.14,3.64,97.7,44.96
64.2,22.18,86.09,49.76
88.78,14.63,31.86,34.63
80.71,63.87,51.06,63.39
67.2,62.68,96.6,73.76
98.69,96.95,86.27,94.09
58.63,97.36,63.26,79.38
68.69,70.5,58.09,66.41
63.31,12.12,12.07,22.34
53.67,53.44,16.48,42.4
73.75,39.42,22.54,41.22
93.29,27.93,81.34,57.03
58.67,19.74,57.13,38.74
73.75,1.16,68.55,35.89
59.24,14.55,40.3,31.21
68.44,0.25,57.08,30.94
70.98,58.74,4.19,44.82
99.54,55.54,50.45,62.81
96.01,15.46,55.72,43.65
54.92,53.9,62.97,56.82
72.51,74.83,52.71,67.73
64.88,3.38,63.75,33.79
59.8,13.52,7.07,20.84
56.01,73.9,55.36,64.76
65.91,13.21,33.8,29.93
79.23,49.2,68.3,60.94
93.1,84.37,19.65,66.7
81.59,18.13,21.94,31.97
53.93,6.15,55.52,30.52
96.68,93.12,30.88,75.16
64.37,75.38,62.74,69.39
72.11,47.37,57.78,55.44
91.33,13.34,16.87,30.0
71.66,13.1,92.59,48.66
94.99,20.34,87.47,55.41
99.36,53.95,8.64,49.44
99.87,91.76,77.24,89.03
50.74,61.19,73.95,62.93
65.31,23.8,49.95,39.95
87.58,41.86,29.3,47.24
98.7,34.42,32.0,46.55
56.28,57.26,37.06,51.0
68.01,32.88,69.7,50.95
56.18,17.5,26.7,28.0
75.29,19.7,19.75,30.83
56.07,9.52,29.07,24.7
60.45,74.96,44.75,62.99
90.69,55.54,32.81,55.75
71.78,39.69,1.55,34.67
64.6,87.6,44.58,70.09
89.29,74.06,71.02,76.19
96.59,36.11,46.02,51.18
59.23,34.77,72.11,50.86
64.7,92.64,88.94,85.94
55.65,1.73,77.17,35.15
59.67,0.34,5.16,13.65
57.43,16.59,86.76,45.81
65.5,54.09,8.73,42.76
64.09,70.84,75.69,70.94
51.1,93.46,57.34,74.15
97.0,67.44,21.57,59.59
71.77,87.21,55.21,74.52
75.09,73.84,31.58,61.41
59.48,4.86,5.18,15.88
55.5,90.99,82.49,81.34
92.36,25.96,3.18,32.41
71.03,20.47,97.3,53.63
81.6,31.08,51.61,47.34
58.53,94.61,32.59,68.79
83.35,84.11,97.71,88.04
50.71,10.7,58.89,33.16
82.35,99.26,45.84,79.85
82.09,50.76,6.39,43.72
85.63,94.42,18.27,69.82
93.32,11.8,15.41,29.19
52.94,59.66,74.33,62.72
88.56,76.15,80.27,79.87
56.71,36.81,11.48,33.19
69.86,10.08,72.22,40.68
76.4,82.63,30.96,65.88
63.51,94.25,61.8,78.37
81.49,71.3,14.37,56.26
52.17,43.47,12.59,35.95
69.95,50.37,81.86,63.73
94.31,99.26,4.66,69.89
58.11,63.64,68.77,64.07
68.23,8.1,57.09,34.82
84.49,18.22,15.49,30.66
75.06,11.76,96.23,49.76
74.42,12.74,9.96,24.24
94.48,79.18,76.01,81.29
71.12,61.72,99.03,74.79
81.0,33.96,60.29,51.27
65.9,14.93,87.76,46.97
67.8,29.17,68.32,48.64
65.29,35.06,97.97,59.98
92.34,77.52,60.89,75.49
80.7,32.43,70.57,53.53
59.62,20.75,38.25,33.77
99.41,69.42,89.03,81.3
93.35,66.96,81.23,76.52
62.17,84.72,80.35,78.9
65.71,33.23,80.51,53.91
60.39,23.28,65.47,43.36
68.86,77.79,32.56,62.44
51.09,69.65,24.75,52.47
92.91,28.11,36.99,43.73
59.37,86.89,85.33,80.92
71.18,96.71,56.5,79.54
57.9,21.49,87.48,48.57
67.26,5.27,66.79,36.12
59.76,72.95,60.28,66.51
85.64,44.49,29.36,48.18
85.31,26.05,72.84,51.94
58.63,12.85,50.15,33.2
77.28,2.78,51.52,32.3
99.14,61.24,63.54,69.51
95.27,84.73,60.68,79.62
82.93,32.11,93.71,60.75
73.64,85.77,46.09,71.44
98.06,27.35,95.92,62.06
93.04,29.14,92.54,60.94
73.57,31.1,68.11,50.7
83.48,34.98,65.09,53.71
63.9,86.58,18.55,61.63
89.68,60.56,84.68,73.62
55.0,38.0,23.01,36.9
90.57,24.31,18.08,35.69
82.73,21.79,71.2,48.8
54.05,32.63,47.2,41.28
55.31,11.78,94.77,45.38
55.44,4.56,76.78,36.4
89.5,24.77,37.42,41.51
92.92,54.53,56.57,62.82
70.58,99.26,94.39,92.06
80.03,59.87,65.94,65.72
69.32,62.17,76.61,67.93
95.4,69.64,86.15,79.75
81.03,53.09,64.72,62.17
58.66,75.58,99.28,79.31
90.4,63.88,92.46,77.76
89.97,42.51,61.23,57.62
61.21,55.08,21.55,46.25
73.95,70.63,24.06,57.32
81.43,32.55,86.25,58.44
54.93,49.44,80.95,59.99
66.96,87.48,29.59,66.01
57.74,12.39,81.01,42.05
66.54,14.27,21.73,26.96
81.71,83.49,32.47,67.83
65.09,60.21,9.07,45.84
66.81,13.52,51.89,35.69
92.58,78.35,30.23,66.76
58.17,86.88,19.17,60.82
83.98,74.27,82.7,78.74
93.83,92.43,86.53,90.94
76.9,9.56,91.81,47.7
80.36,62.22,95.64,75.87
82.19,20.88,77.24,50.05
51.26,36.45,24.81,35.92
65.42,30.71,14.12,32.67
98.52,62.65,47.48,65.27
87.09,78.9,95.28,85.45
75.87,78.12,17.53,59.49
84.12,51.78,93.64,70.81
95.69,42.27,71.35,61.68
99.69,9.14,52.28,40.19
80.2,21.82,93.7,55.06
92.64,59.12,68.26,68.57
78.74,63.4,64.01,66.65
57.27,20.96,96.41,50.86
74.88,8.02,84.82,44.43
61.38,53.84,69.68,60.1
98.71,71.41,3.1,56.38
94.21,38.8,46.85,52.3
86.54,22.19,16.81,33.45
56.92,87.83,31.93,64.88
50.3,43.97,72.15,53.69
74.22,59.62,5.42,46.28
71.69,56.45,93.26,70.54
54.73,76.16,59.46,66.86
94.62,62.54,57.89,67.56
71.51,53.41,83.54,66.07
59.08,30.04,31.25,36.21
92.86,19.8,47.44,42.7
81.37,68.5,59.61,68.41
76.45,73.79,69.66,73.08
75.15,57.5,55.9,60.55
93.38,27.57,78.07,55.88
70.02,18.83,49.92,38.39
54.16,2.04,19.03,17.56
63.63,33.62,80.19,53.59
69.35,1.09,54.89,30.88
69.48,45.34,24.91,44.04
71.65,30.8,41.3,42.12
72.57,89.88,25.9,67.22
85.92,1.42,64.03,37.1
77.45,11.22,69.87,42.06
72.03,27.75,10.84,31.53
86.04,35.21,49.33,49.61
77.73,18.21,43.75,37.78
77.41,37.84,49.68,49.31
64.89,5.24,33.37,25.61
78.36,44.21,54.59,54.15
75.87,29.42,59.2,47.64
63.3,60.58,58.14,60.39
75.51,42.73,79.47,60.31
92.59,73.61,97.44,84.56
99.71,69.06,87.82,80.82
93.25,95.25,70.22,87.34
57.34,0.44,59.97,29.68
63.36,37.59,85.15,57.01
58.71,24.36,57.04,41.03
81.61,13.46,20.2,29.11
67.13,16.67,28.25,30.24
73.27,52.28,86.66,66.79
55.0,37.66,66.65,49.83
86.98,40.43,8.25,40.09
98.1,57.03,33.63,58.22
92.94,96.3,13.27,70.72
52.85,55.29,26.5,46.17
79.37,35.13,82.97,58.33
89.19,70.99,63.1,72.26
69.31,88.47,98.01,87.5
53.37,10.29,87.28,42.0
52.33,84.23,15.3,57.17
80.03,25.76,41.38,41.3
53.08,64.22,25.55,50.39
89.65,42.01,18.69,44.54
73.36,83.51,10.35,59.53
67.47,68.33,42.71,60.47
60.75,21.83,1.93,23.64
75.16,7.61,25.54,26.5
76.3,65.53,54.79,64.46
94.23,54.67,60.95,64.47
82.11,30.51,68.33,52.18
76.58,90.91,17.88,66.14
75.28,76.25,15.74,57.9
95.52,29.75,12.43,37.71
94.0,57.61,30.52,56.76
84.55,93.43,39.46,75.46
94.23,13.95,53.6,41.9
80.43,82.42,73.96,79.48
82.56,93.76,39.88,75.36
64.89,94.31,86.86,86.19
93.93,25.95,43.53,44.82
53.16,76.72,46.12,62.83
76.91,39.11,28.13,43.38
92.96,81.75,45.32,73.06
69.09,10.81,88.28,45.71
70.25,57.2,43.0,55.55
98.55,56.87,63.13,67.08
93.15,93.19,56.25,82.1
84.98,3.46,56.24,35.6
79.73,54.44,74.0,65.37
52.11,38.48,55.92,46.44
59.12,70.47,2.41,47.78
71.4,64.9,87.92,73.11
84.45,85.4,76.45,82.53
81.88,90.23,34.42,71.82
78.45,52.15,58.83,59.41
51.46,87.37,77.95,77.36
98.83,14.5,91.12,54.35
57.97,57.37,78.01,63.68
87.08,18.23,30.24,35.6
59.83,5.59,84.89,40.23
75.35,91.95,31.56,70.51
91.52,97.19,50.99,82.2
93.57,54.33,3.04,46.79
82.96,32.07,19.64,38.52
87.28,16.16,29.4,34.36
86.24,5.43,18.95,25.65
70.36,25.36,56.29,43.64
95.82,64.82,58.03,68.98
94.67,74.56,37.91,67.59
99.1,51.55,63.18,64.55
52.37,66.55,19.57,49.62
59.26,34.91,9.11,32.04
56.78,48.18,13.72,39.56
82.64,16.29,54.28,40.96
72.14,34.4,18.01,37.03
52.67,42.71,84.14,57.13
90.22,47.11,99.81,71.54
93.59,67.08,17.36,57.47
73.85,54.17,14.82,46.3
73.43,68.16,97.24,77.94
67.07,37.35,97.85,61.44
72.08,9.94,17.85,24.74
51.39,28.55,11.07,27.87
95.05,54.52,21.75,52.8
68.65,61.93,28.11,53.13
67.83,59.66,34.79,53.83
60.97,70.98,87.18,73.84
51.12,25.89,88.78,49.8
84.09,19.28,40.98,38.75
50.12,42.95,32.93,41.38
65.31,66.26,34.59,56.57
90.52,74.85,19.54,61.39
66.03,70.07,14.3,52.53
95.14,34.84,10.73,39.67
80.24,99.46,14.94,70.26
94.99,20.0,67.96,49.39
93.46,0.33,93.23,46.83
73.77,8.43,5.38,20.58
56.61,30.94,78.42,50.32
96.6,34.41,34.36,46.83
85.74,57.69,10.36,49.1
95.87,80.43,47.28,73.57
58.71,69.5,22.67,53.29
53.42,59.97,55.81,57.41
96.01,0.67,3.19,20.49
75.31,97.89,90.28,91.09
65.97,55.79,72.42,62.81
62.15,55.2,52.94,55.91
77.94,88.81,2.14,60.64
65.74,5.18,57.61,33.02
84.52,37.72,56.0,52.56
63.92,12.85,33.24,29.18
83.35,76.5,90.16,81.97
54.0,51.69,28.78,45.28
91.01,17.19,87.53,53.06
97.74,88.15,67.56,83.89
81.49,82.15,38.94,69.06
67.68,39.45,46.36,47.17
97.06,40.93,44.77,53.31
74.79,50.19,34.1,50.28
60.04,97.28,21.94,67.23
52.11,54.09,98.84,67.12
97.01,8.43,25.42,31.24
68.38,1.27,65.61,33.99
87.14,59.4,79.85,71.08
91.46,56.84,30.08,55.74
62.35,56.58,12.89,44.63
76.88,97.03,20.64,70.08
72.09,55.76,98.46,71.84
61.54,89.14,56.68,73.88
98.2,14.42,4.89,28.32
75.75,50.57,17.6,45.72
98.59,0.6,91.27,47.4
51.71,50.56,24.99,43.12
81.46,85.81,49.13,73.94
58.55,74.36,31.57,58.36
98.39,39.68,39.09,51.25
98.31,85.91,78.88,86.28
67.72,10.33,20.72,24.92
57.74,42.26,56.87,49.74
95.77,29.23,1.34,34.17
83.26,33.62,62.06,52.08
85.59,45.73,15.55,44.65
50.62,37.46,86.66,54.85
74.26,12.69,89.82,48.14
84.97,78.76,91.45,83.81
92.82,86.74,6.17,63.78
91.51,18.32,31.11,36.8
97.54,42.27,57.33,57.84
77.34,71.3,40.84,63.37
